Activity Id;Date;Type;Route Name;Distance (km);Duration;Average Pace;Average Speed (km/h);Calories Burned;Climb (m);Average Heart Rate (bpm);Friend's Tagged;Notes;GPX File
0fbc766e-4cd5-4ea5-bd80-e20def9427a9;04.10.2014 15:58;Running;;4.72;29:27:00;06:15;9.61;307;44;144;;;2014-10-04-155808.gpx
74265274-1edf-436f-b35a-de6cc5ca5ae4;22.08.2013 21:29;Running;;10.5;01:05:49;06:16;9.57;656;83;118;;;2013-08-22-212922.gpx
dbd9ee48-54c1-4033-bf8e-6ac5e4daeee5;05.08.2013 05:37;Running;;12.91;01:20:54;06:16;9.58;797;119;151;;;2013-08-05-053717.gpx
f057d3c1-5b2d-4e57-8622-dd57fe158152;10.05.2013 00:13;Running;;9.95;01:02:33;06:17;9.54;635;126;157;;;2013-05-10-001301.gpx
8dd34e4f-a71a-44e1-ba0e-062da21fe391;07.01.2013 18:52;Running;;10.22;01:04:12;06:17;9.55;643;67;156;;;2013-01-07-185234.gpx
58b54ba3-a3d7-4f68-94b1-0d4b09d31d1a;30.06.2013 02:23;Running;;4.83;30:26:00;06:18;9.52;297;47;132;;;2013-06-30-022319.gpx
531d83c2-609a-41a8-b270-9f1f22345730;06.12.2012 05:25;Running;;21.71;02:16:36;06:18;9.54;1373;160;150;;;2012-12-06-052527.gpx
369b6cde-cb2c-4a79-9f8d-0aff47dab499;19.08.2013 00:01;Running;;6.01;37:58:00;06:19;9.49;380;63;112;;;2013-08-19-000134.gpx
1ebfdd8d-00b4-4455-9696-0ad413dc5ae8;10.04.2016 10:00;Running;;10.2;01:04:26;06:19;9.5;763;234;157;Käsh,;;2016-04-10-100054.gpx
9f5f242c-4f1b-40a0-aea7-f6a2c2a93de0;07.09.2013 02:22;Running;;6.46;40:47:00;06:19;9.5;407;63;119;;;2013-09-07-022237.gpx
fa1b3e0e-7a5c-4937-bdc6-21b16df77b06;20.04.2012 00:43;Running;;3.86;24:21:00;06:19;9.5;319;27;143;;;2012-04-20-004316.gpx
6e5a0470-c3f5-4e59-9c21-a2791784c3a7;18.10.2014 22:38;Running;;7.97;50:18:00;06:19;9.51;524.7472486;57;132;;;2014-10-18-223851.gpx
8b50116f-af34-422f-b069-b185b0cfc40b;14.07.2013 02:22;Running;;5;31:33:00;06:19;9.51;315;50;146;;;2013-07-14-022219.gpx
f12c1a55-cf7c-417c-b502-30f0c1dabc09;07.10.2012 05:18;Running;;4.95;31:15:00;06:19;9.51;331;39;128;;;2012-10-07-051839.gpx
d925b13d-7a34-4856-92c8-fa61c667cae4;13.11.2012 20:25;Running;;11.43;01:12:24;06:20;9.47;727;65;132;;;2012-11-13-202554.gpx
6bf8f5cb-2e39-4ea7-84e5-d2f80507776e;27.12.2014 20:37;Running;;21.26;02:14:32;06:20;9.48;1420;116;138;;;2014-12-27-203751.gpx
873015e9-ede7-40f6-b395-953bf73d2511;26.09.2015 22:02;Running;;2.53;16:04;06:21;9.45;183;45;129;Käsh,;;2015-09-26-220259.gpx
dc357e73-5c8c-4831-b6e4-500e16a13c7c;08.08.2013 12:10;Running;;8.71;55:17:00;06:21;9.45;539;71;120;;;2013-08-08-121003.gpx
12965451-acde-448c-88d4-d1f0444c0abe;20.05.2013 06:19;Running;;17.69;01:52:17;06:21;9.45;1100;154;156;;;2013-05-20-061958.gpx
